,sym_1,sym_2,p_value,t_value,c_value,hede_ratio,zero_crossings
673,SFPUSDT,GMXUSDT,0.01,-4.09,-3.37,0.01,13
860,UNFIUSDT,BELUSDT,0.02,-3.71,-3.37,10.45,13
585,RSS3USDT,LITUSDT,0.0,-4.11,-3.37,0.17,13
914,XLMUSDT,1000BTTUSDT,0.01,-3.83,-3.37,142.17,13
916,XLMUSDT,1INCHUSDT,0.02,-3.72,-3.37,0.19,13
55,1000XECUSDT,ONTUSDT,0.0,-4.55,-3.37,0.17,13
326,CELUSDT,1000BTTUSDT,0.02,-3.66,-3.37,1203.46,13
678,SFPUSDT,LITUSDT,0.01,-3.91,-3.37,0.53,13
685,SFPUSDT,ROSEUSDT,0.03,-3.51,-3.37,6.47,13
911,VETUSDT,ROSEUSDT,0.01,-3.94,-3.37,0.38,13
909,VETUSDT,OMGUSDT,0.04,-3.41,-3.37,0.01,13
907,VETUSDT,LTCUSDT,0.03,-3.48,-3.37,0.0,13
280,AXSUSDT,ACHUSDT,0.04,-3.4,-3.37,785.01,13
930,XLMUSDT,BNBUSDT,0.02,-3.71,-3.37,0.0,13
607,RVNUSDT,API3USDT,0.04,-3.39,-3.37,0.02,13
438,LITUSDT,1INCHUSDT,0.01,-3.93,-3.37,1.26,13
726,SUNUSDT,BNXUSDT,0.01,-3.79,-3.37,0.0,13
777,SUNUSDT,ICPUSDT,0.0,-4.25,-3.37,0.0,13
503,RSS3USDT,BANDUSDT,0.0,-4.25,-3.37,0.11,13
478,RSS3USDT,1000BTTUSDT,0.0,-4.43,-3.37,153.8,13
776,SUNUSDT,HOTUSDT,0.03,-3.59,-3.37,3.35,13
727,SUNUSDT,BOBAUSDT,0.0,-4.15,-3.37,0.02,13
1044,YGGUSDT,BTCUSDT,0.01,-3.82,-3.37,0.0,13
783,SUNUSDT,IOTAUSDT,0.0,-4.6,-3.37,0.03,13
710,SUNUSDT,API3USDT,0.01,-4.06,-3.37,0.0,13
410,HNTUSDT,AGLDUSDT,0.02,-3.59,-3.37,13.2,13
977,XMRUSDT,QTUMUSDT,0.01,-3.87,-3.37,53.16,13
451,QTUMUSDT,GALAUSDT,0.01,-4.02,-3.37,80.12,13
465,REEFUSDT,MKRUSDT,0.02,-3.65,-3.37,0.0,13
975,XMRUSDT,OMGUSDT,0.04,-3.42,-3.37,90.25,13
98,ACHUSDT,TLMUSDT,0.03,-3.48,-3.37,0.56,13
808,SUNUSDT,OMGUSDT,0.01,-3.88,-3.37,0.0,13
292,CEEKUSDT,1INCHUSDT,0.03,-3.56,-3.37,0.22,13
823,SXPUSDT,FTTUSDT,0.04,-3.38,-3.37,0.01,13
370,GLMRUSDT,1000BTTUSDT,0.04,-3.45,-3.37,593.38,13
362,CTSIUSDT,1INCHUSDT,0.03,-3.52,-3.37,0.23,13
795,SUNUSDT,LPTUSDT,0.0,-4.41,-3.37,0.0,13
790,SUNUSDT,LDOUSDT,0.03,-3.5,-3.37,0.0,13
488,RSS3USDT,ALICEUSDT,0.0,-4.29,-3.37,0.08,13
158,ALICEUSDT,SRMUSDT,0.0,-5.7,-3.37,2.11,13
139,ALICEUSDT,ANTUSDT,0.0,-4.2,-3.37,0.94,13
762,SUNUSDT,ETHWUSDT,0.01,-3.93,-3.37,0.0,13
750,SUNUSDT,DENTUSDT,0.0,-4.24,-3.37,7.8,13
80,ACHUSDT,FTTUSDT,0.03,-3.55,-3.37,0.0,13
781,SUNUSDT,INJUSDT,0.0,-4.18,-3.37,0.0,13
747,SUNUSDT,CVXUSDT,0.01,-3.89,-3.37,0.0,13
969,XMRUSDT,LINAUSDT,0.03,-3.53,-3.37,18826.44,13
136,AKROUSDT,ADAUSDT,0.02,-3.64,-3.37,0.01,12
43,1000XECUSDT,BANDUSDT,0.02,-3.73,-3.37,0.03,12
807,SUNUSDT,OGNUSDT,0.0,-4.29,-3.37,0.05,12
580,RSS3USDT,KNCUSDT,0.0,-4.21,-3.37,0.14,12
877,UNFIUSDT,SOLUSDT,0.0,-4.23,-3.37,0.19,12
918,XLMUSDT,AGLDUSDT,0.03,-3.58,-3.37,0.35,12
28,1000BTTUSDT,SNXUSDT,0.01,-3.82,-3.37,0.0,12
97,ACHUSDT,SUSHIUSDT,0.04,-3.41,-3.37,0.01,12
568,RSS3USDT,ICXUSDT,0.0,-4.21,-3.37,0.55,12
644,RVNUSDT,XLMUSDT,0.03,-3.47,-3.37,0.28,12
687,SFPUSDT,SHIB1000USDT,0.04,-3.42,-3.37,37.68,12
873,UNFIUSDT,RAYUSDT,0.03,-3.49,-3.37,11.19,12
826,SXPUSDT,ICXUSDT,0.01,-3.84,-3.37,1.43,12
540,RSS3USDT,DOTUSDT,0.0,-4.43,-3.37,0.02,12
542,RSS3USDT,DYDXUSDT,0.01,-4.0,-3.37,0.08,12
830,SXPUSDT,PEOPLEUSDT,0.02,-3.74,-3.37,17.89,12
982,XMRUSDT,SNXUSDT,0.01,-3.98,-3.37,62.73,12
953,XMRUSDT,DODOUSDT,0.02,-3.73,-3.37,1138.69,11
773,SUNUSDT,GMXUSDT,0.01,-3.93,-3.37,0.0,11
651,SCRTUSDT,BALUSDT,0.0,-4.45,-3.37,0.14,11
761,SUNUSDT,ETHUSDT,0.01,-3.99,-3.37,0.0,11
759,SUNUSDT,EOSUSDT,0.03,-3.58,-3.37,0.01,11
901,VETUSDT,ETHUSDT,0.01,-4.02,-3.37,0.0,11
1036,YGGUSDT,BCHUSDT,0.02,-3.63,-3.37,0.0,11
1033,YGGUSDT,BALUSDT,0.02,-3.75,-3.37,0.05,11
1031,YGGUSDT,AUDIOUSDT,0.04,-3.43,-3.37,1.53,11
749,SUNUSDT,DASHUSDT,0.01,-3.89,-3.37,0.0,11
780,SUNUSDT,IMXUSDT,0.03,-3.51,-3.37,0.01,11
1059,ZRXUSDT,BALUSDT,0.0,-4.38,-3.37,0.04,11
660,SFPUSDT,CHRUSDT,0.03,-3.57,-3.37,2.77,11
735,SUNUSDT,CHRUSDT,0.0,-4.26,-3.37,0.05,11
958,XMRUSDT,ETHUSDT,0.02,-3.62,-3.37,0.1,11
702,SUNUSDT,ADAUSDT,0.01,-3.94,-3.37,0.02,11
705,SUNUSDT,ALGOUSDT,0.01,-3.91,-3.37,0.02,11
936,XMRUSDT,ALGOUSDT,0.03,-3.54,-3.37,451.67,11
970,XMRUSDT,LITUSDT,0.03,-3.54,-3.37,198.14,11
926,XLMUSDT,BATUSDT,0.01,-3.88,-3.37,0.4,11
925,XLMUSDT,BANDUSDT,0.04,-3.4,-3.37,0.1,11
991,XNOUSDT,BTCUSDT,0.04,-3.39,-3.37,0.0,11
713,SUNUSDT,ARUSDT,0.0,-4.5,-3.37,0.0,11
999,XRPUSDT,BTCUSDT,0.01,-3.87,-3.37,0.0,11
812,SXPUSDT,AVAXUSDT,0.04,-3.43,-3.37,0.02,11
1009,XRPUSDT,GMXUSDT,0.04,-3.45,-3.37,0.01,11
717,SUNUSDT,BALUSDT,0.0,-4.18,-3.37,0.0,11
722,SUNUSDT,BICOUSDT,0.01,-4.05,-3.37,0.02,11
724,SUNUSDT,BLZUSDT,0.02,-3.68,-3.37,0.08,11
671,SFPUSDT,FTMUSDT,0.04,-3.42,-3.37,1.85,11
796,SUNUSDT,LRCUSDT,0.0,-4.25,-3.37,0.03,11
789,SUNUSDT,KNCUSDT,0.01,-3.81,-3.37,0.01,11
1053,ZILUSDT,BNBUSDT,0.03,-3.51,-3.37,0.0,11
967,XMRUSDT,IOTXUSDT,0.05,-3.37,-3.37,5420.98,11
1086,ZRXUSDT,TLMUSDT,0.0,-4.32,-3.37,12.03,11
396,HBARUSDT,1000BTTUSDT,0.01,-3.94,-3.37,75.98,11
348,CREAMUSDT,AGLDUSDT,0.01,-3.89,-3.37,39.01,11
81,ACHUSDT,GLMRUSDT,0.03,-3.53,-3.37,0.02,11
107,AGLDUSDT,ALPHAUSDT,0.01,-3.77,-3.37,2.79,11
598,RSS3USDT,NEOUSDT,0.01,-4.02,-3.37,0.01,11
114,AGLDUSDT,CHZUSDT,0.0,-4.31,-3.37,1.68,11
119,AGLDUSDT,DODOUSDT,0.01,-4.06,-3.37,2.48,11
408,HNTUSDT,ACHUSDT,0.02,-3.62,-3.37,356.43,11
341,CREAMUSDT,1000BTTUSDT,0.01,-3.91,-3.37,15649.46,11
65,ACHUSDT,BELUSDT,0.04,-3.45,-3.37,0.02,11
549,RSS3USDT,ETHWUSDT,0.01,-4.03,-3.37,0.02,11
534,RSS3USDT,DARUSDT,0.0,-4.16,-3.37,0.63,11
532,RSS3USDT,CVCUSDT,0.0,-4.21,-3.37,1.01,11
510,RSS3USDT,BNBUSDT,0.0,-4.34,-3.37,0.0,11
475,RNDRUSDT,MATICUSDT,0.0,-4.19,-3.37,0.55,11
281,BALUSDT,1INCHUSDT,0.0,-4.61,-3.37,10.88,11
70,ACHUSDT,CVXUSDT,0.02,-3.71,-3.37,0.0,11
548,RSS3USDT,ETHUSDT,0.0,-4.45,-3.37,0.0,11
620,RVNUSDT,FILUSDT,0.04,-3.44,-3.37,0.01,11
397,HBARUSDT,1INCHUSDT,0.02,-3.6,-3.37,0.1,11
398,HBARUSDT,ACHUSDT,0.04,-3.43,-3.37,5.11,11
1083,ZRXUSDT,STMXUSDT,0.04,-3.42,-3.37,37.51,10
887,USDCUSDT,BLZUSDT,0.03,-3.56,-3.37,13.17,10
467,REQUSDT,BSWUSDT,0.01,-3.95,-3.37,0.45,10
639,RVNUSDT,SUSHIUSDT,0.04,-3.44,-3.37,0.02,10
138,ALICEUSDT,ADAUSDT,0.04,-3.47,-3.37,4.12,10
318,CEEKUSDT,SNXUSDT,0.03,-3.58,-3.37,0.06,10
1077,ZRXUSDT,RAYUSDT,0.0,-4.46,-3.37,0.5,10
666,SFPUSDT,DYDXUSDT,0.04,-3.43,-3.37,0.25,10
106,AGLDUSDT,ALGOUSDT,0.01,-3.77,-3.37,0.99,10
1018,XRPUSDT,RENUSDT,0.04,-3.44,-3.37,3.92,10
389,GTCUSDT,PEOPLEUSDT,0.02,-3.76,-3.37,91.0,10
75,ACHUSDT,DUSKUSDT,0.04,-3.4,-3.37,0.1,10
160,ALICEUSDT,WOOUSDT,0.03,-3.52,-3.37,9.26,10
636,RVNUSDT,SNXUSDT,0.03,-3.53,-3.37,0.01,10
157,ALICEUSDT,SLPUSDT,0.0,-4.16,-3.37,475.56,10
956,XMRUSDT,DYDXUSDT,0.03,-3.59,-3.37,94.66,10
333,CELUSDT,AKROUSDT,0.01,-4.02,-3.37,267.68,9
699,SUNUSDT,1INCHUSDT,0.01,-3.94,-3.37,0.01,9
17,1000BTTUSDT,IOSTUSDT,0.02,-3.63,-3.37,0.07,9
698,SUNUSDT,1000XECUSDT,0.0,-4.69,-3.37,0.17,9
784,SUNUSDT,IOTXUSDT,0.0,-4.26,-3.37,0.24,9
618,RVNUSDT,ETHUSDT,0.01,-3.82,-3.37,0.0,9
1043,YGGUSDT,BSWUSDT,0.01,-3.82,-3.37,1.17,9
751,SUNUSDT,DGBUSDT,0.0,-4.22,-3.37,0.75,9
704,SUNUSDT,AKROUSDT,0.02,-3.76,-3.37,1.83,9
522,RSS3USDT,CHZUSDT,0.0,-4.35,-3.37,0.64,9
1032,YGGUSDT,AVAXUSDT,0.04,-3.45,-3.37,0.02,9
1050,ZILUSDT,1000BTTUSDT,0.01,-3.87,-3.37,37.74,9
16,1000BTTUSDT,ILVUSDT,0.02,-3.74,-3.37,0.0,9
325,CELUSDT,10000NFTUSDT,0.0,-4.5,-3.37,148.52,9
712,SUNUSDT,ARPAUSDT,0.0,-4.14,-3.37,0.19,9
638,RVNUSDT,STXUSDT,0.03,-3.5,-3.37,0.1,9
979,XMRUSDT,RUNEUSDT,0.0,-4.22,-3.37,97.73,9
499,RSS3USDT,AVAXUSDT,0.0,-4.3,-3.37,0.01,9
718,SUNUSDT,BANDUSDT,0.0,-4.28,-3.37,0.01,9
719,SUNUSDT,BATUSDT,0.0,-4.24,-3.37,0.02,9
491,RSS3USDT,ANTUSDT,0.0,-4.22,-3.37,0.07,9
770,SUNUSDT,GALAUSDT,0.0,-4.17,-3.37,0.19,9
19,1000BTTUSDT,LDOUSDT,0.01,-3.79,-3.37,0.0,9
287,BLZUSDT,1000XECUSDT,0.03,-3.52,-3.37,2.06,9
947,XMRUSDT,CHRUSDT,0.01,-3.99,-3.37,1033.04,9
1072,ZRXUSDT,ILVUSDT,0.03,-3.57,-3.37,0.0,9
377,GTCUSDT,CVCUSDT,0.05,-3.37,-3.37,13.45,9
376,GTCUSDT,BALUSDT,0.01,-3.98,-3.37,0.25,9
402,HBARUSDT,ALPHAUSDT,0.04,-3.46,-3.37,0.53,9
748,SUNUSDT,DARUSDT,0.0,-4.28,-3.37,0.03,9
388,GTCUSDT,OPUSDT,0.01,-3.89,-3.37,1.85,9
745,SUNUSDT,CTSIUSDT,0.0,-4.25,-3.37,0.05,9
743,SUNUSDT,CTCUSDT,0.0,-4.19,-3.37,0.02,9
448,QTUMUSDT,COMPUSDT,0.0,-4.12,-3.37,0.05,9
670,SFPUSDT,FLOWUSDT,0.03,-3.5,-3.37,0.25,9
336,CELUSDT,ALPHAUSDT,0.01,-3.97,-3.37,8.38,9
593,RSS3USDT,MATICUSDT,0.0,-4.15,-3.37,0.14,9
589,RSS3USDT,LTCUSDT,0.0,-4.39,-3.37,0.0,9
955,XMRUSDT,DUSKUSDT,0.02,-3.74,-3.37,1201.14,9
739,SUNUSDT,COTIUSDT,0.0,-4.72,-3.37,0.06,9
794,SUNUSDT,LOOKSUSDT,0.0,-4.22,-3.37,0.03,9
344,CREAMUSDT,1INCHUSDT,0.01,-3.9,-3.37,21.21,9
959,XMRUSDT,ETHWUSDT,0.02,-3.62,-3.37,22.01,9
1057,ZRXUSDT,ANTUSDT,0.02,-3.61,-3.37,0.15,9
343,CREAMUSDT,1000XECUSDT,0.01,-3.95,-3.37,331.29,9
299,CEEKUSDT,BTCUSDT,0.01,-3.96,-3.37,0.0,9
339,CKBUSDT,AKROUSDT,0.03,-3.5,-3.37,1.02,9
721,SUNUSDT,BELUSDT,0.0,-4.19,-3.37,0.01,9
888,USDCUSDT,KNCUSDT,0.04,-3.46,-3.37,1.15,8
910,VETUSDT,RENUSDT,0.0,-4.19,-3.37,0.19,8
964,XMRUSDT,ICXUSDT,0.01,-4.01,-3.37,655.45,8
161,ALICEUSDT,XEMUSDT,0.02,-3.63,-3.37,40.45,8
659,SFPUSDT,BTCUSDT,0.02,-3.71,-3.37,0.0,8
802,SUNUSDT,MKRUSDT,0.03,-3.51,-3.37,0.0,8
625,RVNUSDT,INJUSDT,0.02,-3.61,-3.37,0.02,8
684,SFPUSDT,PEOPLEUSDT,0.02,-3.63,-3.37,21.92,8
29,1000BTTUSDT,SOLUSDT,0.03,-3.51,-3.37,0.0,8
1008,XRPUSDT,GALAUSDT,0.04,-3.44,-3.37,13.59,8
289,BLZUSDT,ALGOUSDT,0.04,-3.38,-3.37,0.24,7
799,SUNUSDT,MASKUSDT,0.01,-3.96,-3.37,0.01,7
915,XLMUSDT,1000XECUSDT,0.02,-3.64,-3.37,3.01,7
755,SUNUSDT,DUSKUSDT,0.01,-4.01,-3.37,0.05,7
361,CTSIUSDT,1000XECUSDT,0.01,-3.97,-3.37,3.58,7
905,VETUSDT,ILVUSDT,0.04,-3.4,-3.37,0.0,7
803,SUNUSDT,MTLUSDT,0.0,-4.6,-3.37,0.01,7
813,SXPUSDT,BALUSDT,0.01,-3.92,-3.37,0.05,7
352,CREAMUSDT,ALPHAUSDT,0.01,-4.0,-3.37,108.98,7
351,CREAMUSDT,ALICEUSDT,0.01,-3.89,-3.37,7.98,7
841,THETAUSDT,BOBAUSDT,0.01,-4.06,-3.37,3.71,7
349,CREAMUSDT,AKROUSDT,0.01,-3.92,-3.37,3480.7,7
763,SUNUSDT,FILUSDT,0.0,-4.25,-3.37,0.0,7
338,CKBUSDT,10000NFTUSDT,0.04,-3.44,-3.37,0.57,7
786,SUNUSDT,KAVAUSDT,0.0,-4.33,-3.37,0.0,7
766,SUNUSDT,FLOWUSDT,0.0,-4.22,-3.37,0.0,7
767,SUNUSDT,FTMUSDT,0.01,-3.91,-3.37,0.03,7
924,XLMUSDT,BALUSDT,0.02,-3.66,-3.37,0.02,7
779,SUNUSDT,ILVUSDT,0.01,-3.86,-3.37,0.0,7
778,SUNUSDT,ICXUSDT,0.0,-4.23,-3.37,0.03,7
775,SUNUSDT,HBARUSDT,0.0,-4.19,-3.37,0.11,7
774,SUNUSDT,GTCUSDT,0.01,-3.93,-3.37,0.0,7
820,SXPUSDT,ETCUSDT,0.01,-4.1,-3.37,0.01,7
633,RVNUSDT,QTUMUSDT,0.04,-3.39,-3.37,0.01,7
927,XLMUSDT,BCHUSDT,0.03,-3.59,-3.37,0.0,7
677,SFPUSDT,KLAYUSDT,0.04,-3.43,-3.37,2.07,7
515,RSS3USDT,BTCUSDT,0.0,-4.42,-3.37,0.0,7
538,RSS3USDT,DODOUSDT,0.0,-4.23,-3.37,0.95,7
697,SUNUSDT,1000BTTUSDT,0.01,-3.93,-3.37,8.25,7
1052,ZILUSDT,BALUSDT,0.01,-3.9,-3.37,0.0,7
688,SFPUSDT,SKLUSDT,0.01,-3.85,-3.37,11.32,7
681,SFPUSDT,MINAUSDT,0.01,-4.1,-3.37,0.69,7
680,SFPUSDT,MASKUSDT,0.01,-3.84,-3.37,0.36,7
579,RSS3USDT,KLAYUSDT,0.01,-4.0,-3.37,0.64,7
676,SFPUSDT,ILVUSDT,0.03,-3.49,-3.37,0.01,7
716,SUNUSDT,BAKEUSDT,0.01,-3.96,-3.37,0.03,7
582,RSS3USDT,LDOUSDT,0.0,-4.68,-3.37,0.08,7
663,SFPUSDT,DARUSDT,0.0,-4.17,-3.37,2.02,7
611,RVNUSDT,CHRUSDT,0.04,-3.41,-3.37,0.22,7
74,ACHUSDT,DOGEUSDT,0.02,-3.65,-3.37,0.18,7
656,SFPUSDT,BALUSDT,0.03,-3.54,-3.37,0.06,7
52,1000XECUSDT,LTCUSDT,0.01,-3.92,-3.37,0.0,7
649,SCRTUSDT,ADAUSDT,0.02,-3.75,-3.37,2.36,7
36,1000LUNCUSDT,BSWUSDT,0.04,-3.46,-3.37,0.98,7
711,SUNUSDT,APTUSDT,0.01,-3.9,-3.37,0.0,7
553,RSS3USDT,FLOWUSDT,0.0,-4.25,-3.37,0.08,7
968,XMRUSDT,KLAYUSDT,0.03,-3.54,-3.37,773.06,7
728,SUNUSDT,BSVUSDT,0.0,-4.24,-3.37,0.0,7
474,RNDRUSDT,KAVAUSDT,0.03,-3.56,-3.37,0.33,7
965,XMRUSDT,ILVUSDT,0.04,-3.43,-3.37,2.47,7
989,XMRUSDT,TRBUSDT,0.0,-4.15,-3.37,10.03,7
731,SUNUSDT,CEEKUSDT,0.0,-4.32,-3.37,0.05,7
730,SUNUSDT,BTCUSDT,0.01,-3.87,-3.37,0.0,7
729,SUNUSDT,BSWUSDT,0.0,-4.17,-3.37,0.03,7
746,SUNUSDT,CVCUSDT,0.01,-3.94,-3.37,0.05,7
464,REEFUSDT,CELUSDT,0.0,-4.3,-3.37,0.01,7
983,XMRUSDT,SOLUSDT,0.01,-4.03,-3.37,4.89,7
444,QTUMUSDT,AVAXUSDT,0.04,-3.41,-3.37,0.17,7
938,XMRUSDT,AVAXUSDT,0.04,-3.45,-3.37,8.96,7
908,VETUSDT,MTLUSDT,0.04,-3.46,-3.37,0.02,6
814,SXPUSDT,BANDUSDT,0.02,-3.61,-3.37,0.29,6
626,RVNUSDT,IOTXUSDT,0.04,-3.39,-3.37,1.17,6
880,UNFIUSDT,SUSHIUSDT,0.0,-4.27,-3.37,3.8,6
900,VETUSDT,ETCUSDT,0.03,-3.58,-3.37,0.0,5
92,ACHUSDT,MINAUSDT,0.01,-3.96,-3.37,0.02,5
827,SXPUSDT,ILVUSDT,0.02,-3.61,-3.37,0.01,5
829,SXPUSDT,OPUSDT,0.03,-3.51,-3.37,0.36,5
84,ACHUSDT,ILVUSDT,0.01,-4.02,-3.37,0.0,5
357,CTKUSDT,1000XECUSDT,0.02,-3.65,-3.37,22.04,5
940,XMRUSDT,BANDUSDT,0.01,-3.77,-3.37,134.48,5
22,1000BTTUSDT,OPUSDT,0.03,-3.51,-3.37,0.0,5
892,VETUSDT,BALUSDT,0.04,-3.38,-3.37,0.0,5
1016,XRPUSDT,MINAUSDT,0.02,-3.71,-3.37,0.83,5
123,AGLDUSDT,KAVAUSDT,0.03,-3.57,-3.37,0.21,5
347,CREAMUSDT,ADAUSDT,0.01,-3.9,-3.37,32.86,5
137,ALGOUSDT,ADAUSDT,0.0,-4.37,-3.37,0.86,5
848,THETAUSDT,OPUSDT,0.04,-3.42,-3.37,1.2,5
1055,ZRXUSDT,ADAUSDT,0.05,-3.38,-3.37,0.67,5
148,ALICEUSDT,GALAUSDT,0.01,-3.89,-3.37,45.44,5
283,BCHUSDT,ADAUSDT,0.03,-3.57,-3.37,295.25,5
