,sym_1,sym_2,p_value,t_value,c_value,hede_ratio,zero_crossings
150,ALICEUSDT,ILVUSDT,0.04,-3.38,-3.37,0.03,5
937,XMRUSDT,ANTUSDT,0.0,-4.18,-3.37,88.51,5
332,CELUSDT,AGLDUSDT,0.01,-3.79,-3.37,3.0,5
635,RVNUSDT,SHIB1000USDT,0.02,-3.72,-3.37,3.05,5
327,CELUSDT,1000XECUSDT,0.01,-3.78,-3.37,25.48,5
1026,YGGUSDT,ALGOUSDT,0.03,-3.54,-3.37,0.89,5
1024,YGGUSDT,ADAUSDT,0.01,-3.89,-3.37,0.76,5
295,CEEKUSDT,BALUSDT,0.04,-3.43,-3.37,0.02,5
125,AGLDUSDT,LTCUSDT,0.02,-3.64,-3.37,0.01,5
328,CELUSDT,1INCHUSDT,0.02,-3.69,-3.37,1.63,5
411,HNTUSDT,AKROUSDT,0.02,-3.7,-3.37,1178.09,5
744,SUNUSDT,CTKUSDT,0.01,-3.95,-3.37,0.01,5
792,SUNUSDT,LINKUSDT,0.01,-3.92,-3.37,0.0,5
609,RVNUSDT,BALUSDT,0.02,-3.71,-3.37,0.0,5
788,SUNUSDT,KLAYUSDT,0.01,-3.88,-3.37,0.03,5
752,SUNUSDT,DODOUSDT,0.0,-4.47,-3.37,0.05,5
785,SUNUSDT,JASMYUSDT,0.0,-4.15,-3.37,1.42,5
720,SUNUSDT,BCHUSDT,0.01,-3.86,-3.37,0.0,5
414,HNTUSDT,ALPHAUSDT,0.02,-3.61,-3.37,36.89,5
604,RVNUSDT,1INCHUSDT,0.03,-3.55,-3.37,0.05,5
754,SUNUSDT,DOTUSDT,0.0,-4.18,-3.37,0.0,5
602,RVNUSDT,1000BTTUSDT,0.03,-3.53,-3.37,39.83,5
595,RSS3USDT,MKRUSDT,0.01,-3.97,-3.37,0.0,5
594,RSS3USDT,MINAUSDT,0.0,-4.25,-3.37,0.22,5
592,RSS3USDT,MASKUSDT,0.01,-4.07,-3.37,0.11,5
679,SFPUSDT,LRCUSDT,0.04,-3.47,-3.37,1.51,5
502,RSS3USDT,BALUSDT,0.0,-4.3,-3.37,0.02,5
708,SUNUSDT,ANTUSDT,0.0,-4.26,-3.37,0.0,5
703,SUNUSDT,AGLDUSDT,0.02,-3.72,-3.37,0.02,5
555,RSS3USDT,FTTUSDT,0.0,-4.37,-3.37,0.01,5
768,SUNUSDT,FTTUSDT,0.01,-3.93,-3.37,0.0,5
793,SUNUSDT,LITUSDT,0.0,-4.24,-3.37,0.01,5
765,SUNUSDT,FLMUSDT,0.0,-4.29,-3.37,0.06,5
473,RNDRUSDT,AKROUSDT,0.03,-3.49,-3.37,136.8,5
725,SUNUSDT,BNBUSDT,0.01,-3.93,-3.37,0.0,5
400,HBARUSDT,AGLDUSDT,0.04,-3.4,-3.37,0.19,5
733,SUNUSDT,CELRUSDT,0.01,-3.97,-3.37,0.45,5
629,RVNUSDT,MINAUSDT,0.02,-3.73,-3.37,0.06,5
405,HNTUSDT,1000XECUSDT,0.03,-3.53,-3.37,112.13,5
454,QTUMUSDT,ILVUSDT,0.01,-3.84,-3.37,0.05,5
801,SUNUSDT,MINAUSDT,0.01,-3.92,-3.37,0.01,5
804,SUNUSDT,NEARUSDT,0.0,-4.6,-3.37,0.0,5
738,SUNUSDT,COMPUSDT,0.0,-4.13,-3.37,0.0,5
834,SXPUSDT,SOLUSDT,0.03,-3.53,-3.37,0.01,4
291,C98USDT,10000NFTUSDT,0.03,-3.58,-3.37,48.62,4
632,RVNUSDT,PEOPLEUSDT,0.04,-3.39,-3.37,1.77,4
986,XMRUSDT,SUSHIUSDT,0.01,-3.95,-3.37,98.44,4
923,XLMUSDT,AUDIOUSDT,0.03,-3.59,-3.37,0.6,3
973,XMRUSDT,MASKUSDT,0.04,-3.45,-3.37,132.67,3
971,XMRUSDT,LTCUSDT,0.03,-3.49,-3.37,2.7,3
939,XMRUSDT,BALUSDT,0.01,-3.89,-3.37,22.87,3
539,RSS3USDT,DOGEUSDT,0.0,-4.15,-3.37,1.89,3
696,STXUSDT,ADAUSDT,0.02,-3.68,-3.37,0.82,3
441,OGNUSDT,ALGOUSDT,0.02,-3.68,-3.37,0.43,3
891,VETUSDT,AVAXUSDT,0.02,-3.75,-3.37,0.0,3
951,XMRUSDT,DARUSDT,0.02,-3.75,-3.37,755.43,3
154,ALICEUSDT,OPUSDT,0.02,-3.66,-3.37,1.78,3
974,XMRUSDT,MINAUSDT,0.04,-3.43,-3.37,259.23,3
753,SUNUSDT,DOGEUSDT,0.0,-4.24,-3.37,0.1,3
961,XMRUSDT,FTTUSDT,0.01,-3.8,-3.37,6.2,3
715,SUNUSDT,AVAXUSDT,0.01,-3.86,-3.37,0.0,3
494,RSS3USDT,APTUSDT,0.01,-3.98,-3.37,0.01,3
811,SXPUSDT,ADAUSDT,0.0,-4.12,-3.37,0.84,3
960,XMRUSDT,FLOWUSDT,0.02,-3.71,-3.37,94.95,3
756,SUNUSDT,DYDXUSDT,0.0,-4.17,-3.37,0.0,3
457,QTUMUSDT,OPUSDT,0.01,-4.03,-3.37,3.13,3
976,XMRUSDT,OPUSDT,0.01,-3.95,-3.37,166.03,3
0,10000NFTUSDT,APTUSDT,0.02,-3.71,-3.37,0.0,3
707,SUNUSDT,ALPHAUSDT,0.02,-3.74,-3.37,0.06,3
560,RSS3USDT,GMTUSDT,0.0,-4.12,-3.37,0.23,3
310,CEEKUSDT,ILVUSDT,0.02,-3.77,-3.37,0.0,3
331,CELUSDT,ADAUSDT,0.03,-3.54,-3.37,2.53,3
662,SFPUSDT,CVXUSDT,0.03,-3.56,-3.37,0.07,3
561,RSS3USDT,GMXUSDT,0.0,-4.18,-3.37,0.0,3
337,CELUSDT,ANTUSDT,0.01,-3.77,-3.37,0.58,3
606,RVNUSDT,ADAUSDT,0.03,-3.56,-3.37,0.08,3
613,RVNUSDT,CROUSDT,0.04,-3.47,-3.37,0.29,3
654,SFPUSDT,ANTUSDT,0.02,-3.61,-3.37,0.24,3
845,THETAUSDT,DUSKUSDT,0.01,-3.95,-3.37,8.65,3
615,RVNUSDT,DOGEUSDT,0.02,-3.73,-3.37,0.49,3
56,1000XECUSDT,OPUSDT,0.03,-3.48,-3.37,0.04,3
797,SUNUSDT,LTCUSDT,0.0,-4.49,-3.37,0.0,3
840,THETAUSDT,BNBUSDT,0.01,-3.87,-3.37,0.0,3
1075,ZRXUSDT,OPUSDT,0.03,-3.52,-3.37,0.29,3
406,HNTUSDT,1INCHUSDT,0.03,-3.51,-3.37,7.18,3
617,RVNUSDT,ETCUSDT,0.03,-3.53,-3.37,0.0,3
354,CREAMUSDT,ANTUSDT,0.01,-3.91,-3.37,7.53,3
623,RVNUSDT,ILVUSDT,0.02,-3.73,-3.37,0.0,3
646,RVNUSDT,XTZUSDT,0.04,-3.41,-3.37,0.02,3
628,RVNUSDT,LTCUSDT,0.03,-3.5,-3.37,0.0,3
404,HNTUSDT,1000BTTUSDT,0.02,-3.6,-3.37,5296.49,3
366,DASHUSDT,ADAUSDT,0.02,-3.77,-3.37,109.77,3
637,RVNUSDT,STORJUSDT,0.04,-3.4,-3.37,0.08,3
385,GTCUSDT,ILVUSDT,0.01,-3.91,-3.37,0.03,3
665,SFPUSDT,DOGEUSDT,0.01,-3.84,-3.37,6.07,3
335,CELUSDT,ALICEUSDT,0.01,-3.83,-3.37,0.61,3
871,UNFIUSDT,OPUSDT,0.03,-3.49,-3.37,6.42,3
683,SFPUSDT,OPUSDT,0.04,-3.44,-3.37,0.44,3
144,ALICEUSDT,DGBUSDT,0.02,-3.62,-3.37,178.83,3
578,RSS3USDT,KDAUSDT,0.01,-3.94,-3.37,0.0,2
172,APEUSDT,AKROUSDT,0.0,-14.15,-3.37,3336.53,2
175,APEUSDT,ALPHAUSDT,0.0,-14.13,-3.37,104.53,2
174,APEUSDT,ALICEUSDT,0.0,-14.32,-3.37,7.86,2
207,APEUSDT,COMPUSDT,0.0,-14.13,-3.37,0.23,2
218,APEUSDT,DGBUSDT,0.0,-14.29,-3.37,1380.4,2
208,APEUSDT,COTIUSDT,0.0,-14.33,-3.37,118.94,2
209,APEUSDT,CREAMUSDT,0.0,-14.12,-3.37,0.94,2
492,RSS3USDT,APEUSDT,0.01,-3.94,-3.37,0.0,2
210,APEUSDT,CROUSDT,0.0,-14.19,-3.37,110.9,2
173,APEUSDT,ALGOUSDT,0.0,-14.21,-3.37,37.38,2
211,APEUSDT,CRVUSDT,0.0,-14.18,-3.37,13.27,2
212,APEUSDT,CTCUSDT,0.0,-14.22,-3.37,31.0,2
213,APEUSDT,CTKUSDT,0.0,-14.13,-3.37,14.29,2
177,APEUSDT,ANTUSDT,0.0,-14.44,-3.37,7.59,2
171,APEUSDT,AGLDUSDT,0.0,-14.14,-3.37,37.3,2
214,APEUSDT,CTSIUSDT,0.0,-14.1,-3.37,88.54,2
170,APEUSDT,ADAUSDT,0.0,-14.28,-3.37,32.91,2
169,APEUSDT,ACHUSDT,0.0,-4.15,-3.37,1018.18,2
168,APEUSDT,AAVEUSDT,0.0,-14.11,-3.37,0.14,2
215,APEUSDT,CVCUSDT,0.0,-14.32,-3.37,101.35,2
167,APEUSDT,1INCHUSDT,0.0,-14.32,-3.37,20.7,2
166,APEUSDT,1000XECUSDT,0.0,-14.2,-3.37,319.17,2
165,APEUSDT,1000LUNCUSDT,0.0,-14.14,-3.37,49.24,2
631,RVNUSDT,ONEUSDT,0.05,-3.37,-3.37,1.83,2
164,APEUSDT,1000BTTUSDT,0.0,-14.26,-3.37,15160.23,2
216,APEUSDT,CVXUSDT,0.0,-14.29,-3.37,2.33,2
163,APEUSDT,10000NFTUSDT,0.0,-14.11,-3.37,1829.97,2
176,APEUSDT,ANKRUSDT,0.0,-14.13,-3.37,408.04,2
206,APEUSDT,CKBUSDT,0.0,-14.14,-3.37,3152.47,2
183,APEUSDT,AVAXUSDT,0.0,-14.31,-3.37,0.76,2
205,APEUSDT,CHZUSDT,0.0,-14.22,-3.37,64.8,2
182,APEUSDT,ASTRUSDT,0.0,-14.1,-3.37,316.15,2
184,APEUSDT,AXSUSDT,0.0,-14.12,-3.37,1.28,2
185,APEUSDT,BAKEUSDT,0.0,-14.26,-3.37,53.27,2
181,APEUSDT,ARUSDT,0.0,-14.11,-3.37,1.11,2
186,APEUSDT,BALUSDT,0.0,-14.39,-3.37,1.96,2
187,APEUSDT,BANDUSDT,0.0,-14.27,-3.37,11.22,2
188,APEUSDT,BATUSDT,0.0,-14.22,-3.37,42.17,2
189,APEUSDT,BCHUSDT,0.0,-14.23,-3.37,0.11,2
180,APEUSDT,ARPAUSDT,0.0,-14.18,-3.37,349.63,2
179,APEUSDT,APTUSDT,0.0,-14.12,-3.37,1.38,2
190,APEUSDT,BELUSDT,0.0,-14.29,-3.37,22.28,2
191,APEUSDT,BICOUSDT,0.0,-14.11,-3.37,28.96,2
192,APEUSDT,BITUSDT,0.0,-14.52,-3.37,27.72,2
193,APEUSDT,BLZUSDT,0.0,-14.09,-3.37,154.65,2
194,APEUSDT,BNBUSDT,0.0,-14.24,-3.37,0.04,2
195,APEUSDT,BNXUSDT,0.0,-14.11,-3.37,0.08,2
709,SUNUSDT,APEUSDT,0.0,-4.24,-3.37,0.0,2
178,APEUSDT,API3USDT,0.0,-14.4,-3.37,7.23,2
196,APEUSDT,BOBAUSDT,0.0,-14.36,-3.37,42.54,2
197,APEUSDT,BSVUSDT,0.0,-14.14,-3.37,0.25,2
198,APEUSDT,BSWUSDT,0.0,-14.39,-3.37,50.27,2
199,APEUSDT,BTCUSDT,0.0,-14.66,-3.37,0.0,2
200,APEUSDT,C98USDT,0.0,-14.13,-3.37,37.9,2
201,APEUSDT,CELOUSDT,0.0,-14.16,-3.37,16.48,2
202,APEUSDT,CELRUSDT,0.0,-14.27,-3.37,832.79,2
203,APEUSDT,CELUSDT,0.0,-14.07,-3.37,12.28,2
204,APEUSDT,CHRUSDT,0.0,-14.57,-3.37,87.47,2
217,APEUSDT,DASHUSDT,0.0,-14.22,-3.37,0.29,2
225,APEUSDT,ENJUSDT,0.0,-14.25,-3.37,28.11,2
431,KDAUSDT,ANTUSDT,0.0,-8.92,-3.37,12.44,2
428,KDAUSDT,ALICEUSDT,0.0,-8.96,-3.37,12.9,2
265,APEUSDT,LTCUSDT,0.0,-14.2,-3.37,0.22,2
264,APEUSDT,LRCUSDT,0.0,-14.42,-3.37,47.79,2
263,APEUSDT,LPTUSDT,0.0,-14.2,-3.37,1.33,2
219,APEUSDT,DODOUSDT,0.0,-14.24,-3.37,94.47,2
262,APEUSDT,LOOKSUSDT,0.0,-14.28,-3.37,55.49,2
261,APEUSDT,LINKUSDT,0.0,-14.13,-3.37,1.7,2
260,APEUSDT,LINAUSDT,0.0,-14.3,-3.37,1574.91,2
429,KDAUSDT,ALPHAUSDT,0.0,-8.65,-3.37,170.86,2
259,APEUSDT,LDOUSDT,0.0,-14.23,-3.37,7.77,2
258,APEUSDT,KSMUSDT,0.0,-14.11,-3.37,0.33,2
257,APEUSDT,KNCUSDT,0.0,-14.29,-3.37,13.79,2
256,APEUSDT,KLAYUSDT,0.0,-14.47,-3.37,82.83,2
430,KDAUSDT,ANKRUSDT,0.0,-8.69,-3.37,662.62,2
255,APEUSDT,KDAUSDT,0.0,-14.12,-3.37,0.0,2
254,APEUSDT,KAVAUSDT,0.0,-14.13,-3.37,7.95,2
421,KDAUSDT,1000XECUSDT,0.0,-8.73,-3.37,518.48,2
253,APEUSDT,JSTUSDT,0.0,-14.12,-3.37,402.39,2
266,APEUSDT,LUNA2USDT,0.0,-14.13,-3.37,4.9,2
267,APEUSDT,MANAUSDT,0.0,-14.26,-3.37,19.2,2
251,APEUSDT,IOTXUSDT,0.0,-14.39,-3.37,455.16,2
427,KDAUSDT,ALGOUSDT,0.0,-8.73,-3.37,60.99,2
772,SUNUSDT,GMTUSDT,0.0,-4.15,-3.37,0.01,2
420,KDAUSDT,1000LUNCUSDT,0.0,-8.6,-3.37,79.45,2
419,KDAUSDT,1000BTTUSDT,0.0,-8.76,-3.37,24745.03,2
418,KDAUSDT,10000NFTUSDT,0.0,-8.56,-3.37,2960.47,2
423,KDAUSDT,AAVEUSDT,0.0,-8.54,-3.37,0.22,2
424,KDAUSDT,ADAUSDT,0.0,-8.73,-3.37,54.3,2
787,SUNUSDT,KDAUSDT,0.0,-4.23,-3.37,0.0,2
275,APEUSDT,OMGUSDT,0.0,-14.32,-3.37,7.53,2
274,APEUSDT,OGNUSDT,0.0,-13.85,-3.37,85.75,2
425,KDAUSDT,AGLDUSDT,0.0,-8.67,-3.37,60.58,2
273,APEUSDT,OCEANUSDT,0.0,-14.97,-3.37,76.49,2
272,APEUSDT,NEOUSDT,0.0,-14.19,-3.37,1.45,2
271,APEUSDT,NEARUSDT,0.0,-14.16,-3.37,4.01,2
270,APEUSDT,MTLUSDT,0.0,-14.21,-3.37,12.12,2
269,APEUSDT,MKRUSDT,0.0,-14.23,-3.37,0.01,2
268,APEUSDT,MATICUSDT,0.0,-14.18,-3.37,13.68,2
426,KDAUSDT,AKROUSDT,0.0,-8.61,-3.37,5419.25,2
252,APEUSDT,JASMYUSDT,0.0,-14.14,-3.37,2586.23,2
422,KDAUSDT,1INCHUSDT,0.0,-8.85,-3.37,33.7,2
250,APEUSDT,INJUSDT,0.0,-14.36,-3.37,6.25,2
239,APEUSDT,GALUSDT,0.0,-14.25,-3.37,5.84,2
228,APEUSDT,ETCUSDT,0.0,-14.27,-3.37,0.52,2
229,APEUSDT,ETHUSDT,0.0,-14.15,-3.37,0.01,2
230,APEUSDT,ETHWUSDT,0.0,-14.25,-3.37,1.91,2
231,APEUSDT,FILUSDT,0.0,-14.27,-3.37,2.35,2
232,APEUSDT,FITFIUSDT,0.0,-14.14,-3.37,215.39,2
233,APEUSDT,FLMUSDT,0.0,-14.23,-3.37,111.9,2
234,APEUSDT,FLOWUSDT,0.0,-14.38,-3.37,8.1,2
235,APEUSDT,FTMUSDT,0.0,-14.31,-3.37,58.14,2
249,APEUSDT,ILVUSDT,0.0,-14.27,-3.37,0.22,2
236,APEUSDT,FTTUSDT,0.0,-14.31,-3.37,0.52,2
224,APEUSDT,EGLDUSDT,0.0,-14.13,-3.37,0.2,2
237,APEUSDT,FXSUSDT,0.0,-14.16,-3.37,1.93,2
238,APEUSDT,GALAUSDT,0.0,-14.29,-3.37,353.23,2
227,APEUSDT,EOSUSDT,0.0,-14.26,-3.37,11.02,2
226,APEUSDT,ENSUSDT,0.0,-14.11,-3.37,0.67,2
240,APEUSDT,GLMRUSDT,0.0,-14.14,-3.37,25.16,2
246,APEUSDT,HOTUSDT,0.0,-14.47,-3.37,6175.41,2
220,APEUSDT,DOGEUSDT,0.0,-4.9,-3.37,219.37,2
248,APEUSDT,ICXUSDT,0.0,-14.24,-3.37,54.35,2
221,APEUSDT,DOTUSDT,0.0,-14.2,-3.37,1.95,2
247,APEUSDT,ICPUSDT,0.0,-14.26,-3.37,2.41,2
222,APEUSDT,DUSKUSDT,0.0,-14.3,-3.37,100.2,2
241,APEUSDT,GMTUSDT,0.0,-14.12,-3.37,21.57,2
223,APEUSDT,DYDXUSDT,0.0,-14.49,-3.37,8.22,2
245,APEUSDT,HNTUSDT,0.0,-14.09,-3.37,2.79,2
244,APEUSDT,HBARUSDT,0.0,-14.11,-3.37,193.99,2
243,APEUSDT,GRTUSDT,0.0,-14.13,-3.37,146.31,2
242,APEUSDT,GMXUSDT,0.0,-14.49,-3.37,0.34,2
413,HNTUSDT,ALICEUSDT,0.03,-3.48,-3.37,2.7,1
412,HNTUSDT,ALGOUSDT,0.03,-3.57,-3.37,13.01,1
415,HNTUSDT,ANTUSDT,0.03,-3.57,-3.37,2.55,1
640,RVNUSDT,THETAUSDT,0.04,-3.43,-3.37,0.03,1
401,HBARUSDT,ALGOUSDT,0.04,-3.43,-3.37,0.19,1
334,CELUSDT,ALGOUSDT,0.02,-3.73,-3.37,2.96,1
846,THETAUSDT,ICXUSDT,0.02,-3.63,-3.37,4.72,1
614,RVNUSDT,CVXUSDT,0.02,-3.67,-3.37,0.01,1
371,GMTUSDT,AKROUSDT,0.02,-3.76,-3.37,149.74,1
368,FLMUSDT,ADAUSDT,0.02,-3.66,-3.37,0.29,1
843,THETAUSDT,COTIUSDT,0.0,-4.21,-3.37,10.29,1
364,CVXUSDT,1INCHUSDT,0.0,-5.21,-3.37,9.1,1
363,CTSIUSDT,ADAUSDT,0.0,-4.58,-3.37,0.36,1
805,SUNUSDT,NEOUSDT,0.0,-4.51,-3.37,0.0,1
409,HNTUSDT,ADAUSDT,0.02,-3.64,-3.37,11.12,1
41,1000XECUSDT,ADAUSDT,0.02,-3.76,-3.37,0.1,1
359,CTKUSDT,ADAUSDT,0.0,-4.71,-3.37,2.19,1
800,SUNUSDT,MATICUSDT,0.01,-4.0,-3.37,0.01,1
839,THETAUSDT,BAKEUSDT,0.02,-3.74,-3.37,4.62,1
484,RSS3USDT,ADAUSDT,0.0,-4.47,-3.37,0.32,1
1028,YGGUSDT,ANTUSDT,0.04,-3.43,-3.37,0.17,1
303,CEEKUSDT,CVXUSDT,0.04,-3.42,-3.37,0.02,1
1013,XRPUSDT,ILVUSDT,0.05,-3.37,-3.37,0.01,1
732,SUNUSDT,CELOUSDT,0.01,-4.03,-3.37,0.01,1
954,XMRUSDT,DOGEUSDT,0.03,-3.53,-3.37,2265.91,1
987,XMRUSDT,THETAUSDT,0.02,-3.72,-3.37,138.79,1
436,LINKUSDT,ADAUSDT,0.03,-3.59,-3.37,18.6,1
935,XMRUSDT,ADAUSDT,0.04,-3.39,-3.37,386.24,1
932,XLMUSDT,BTCUSDT,0.01,-4.08,-3.37,0.0,1
920,XLMUSDT,ANTUSDT,0.04,-3.4,-3.37,0.07,1
919,XLMUSDT,ALGOUSDT,0.03,-3.56,-3.37,0.35,1
1006,XRPUSDT,ETCUSDT,0.04,-3.4,-3.37,0.02,1
917,XLMUSDT,ADAUSDT,0.01,-3.93,-3.37,0.3,1
1019,XRPUSDT,ROSEUSDT,0.03,-3.57,-3.37,7.71,1
293,CEEKUSDT,ADAUSDT,0.03,-3.51,-3.37,0.35,1
1034,YGGUSDT,BANDUSDT,0.04,-3.4,-3.37,0.26,1
889,VETUSDT,ADAUSDT,0.01,-4.0,-3.37,0.06,1
533,RSS3USDT,CVXUSDT,0.0,-4.37,-3.37,0.02,1
277,ASTRUSDT,ADAUSDT,0.04,-3.41,-3.37,0.1,1
547,RSS3USDT,ETCUSDT,0.0,-4.26,-3.37,0.01,1
1051,ZILUSDT,ADAUSDT,0.01,-4.06,-3.37,0.08,1
288,BLZUSDT,ADAUSDT,0.01,-3.9,-3.37,0.2,1
569,RSS3USDT,ILVUSDT,0.0,-4.19,-3.37,0.0,1
290,BSVUSDT,ADAUSDT,0.02,-3.7,-3.37,127.0,1
577,RSS3USDT,KAVAUSDT,0.0,-4.15,-3.37,0.08,1
399,HBARUSDT,ADAUSDT,0.0,-4.52,-3.37,0.16,1
